Year,Estimated_Population,Total_number_of_crimes,Murder,Rape,Robbery,Assault,Burglary,Theft,Motor_Vehicle_Theft,Arson,Male_Officers,Female_Officers,Per_capita_income,Percent_poverty,Number_of_schools,GDP,College,Community_college,Total_employment,Country_inflation,Percent_house_unit_vacant,Minimal_wage_per_hour,White_race,Black_race,Hispanic_ethnicity,Native_American_race,Asian_race,Multiracial,Native_Hawaian_race,Unemployment_persons_avg
2022,2933824,74444,163,1160,1042,10484,8264,45303,7558,470,5581,780,60152,11.7,1757,164939.3,6,19,1373295,8,1.00,7.25,75.75,5.75,9.56,1.05,2.94,4.97,0.1,43133
2021,2948018,81862,173,1187,1077,10985,9751,49663,8514,512,5050,627,58857,11.7,1757,162290.9,6,19,1912187,4.7,0.90,7.25,74.7,5.8,12.7,0.8,3.1,2.8,0.1,64600
2020,2942512,87920,193,1190,1312,11201,11267,53381,8802,574,4978,683,55935,11.4,1757,158348.3,6,19,1879086,1.2,1.20,7.25,75,5.8,12.5,0.8,3.1,2.7,0.1,69975
2019,2972391,87471,130,1297,1422,9845,11277,54990,8047,463,6457,781,52876,11.4,1757,159826.2,6,19,1924539,1.8,1.30,7.25,75.4,5.7,12.3,0.8,3.1,2.7,0.1,47825
2018,2929226,92686,146,1346,1599,9276,12459,58885,8351,624,5923,691,50663,12,1757,158734.4,6,19,1925615,2.4,1.60,7.25,75.6,5.7,12.1,0.8,3.1,2.6,0.1,51275
2017,2959747,93690,176,1214,1747,8605,13392,59725,8232,599,6165,708,48651,11.9,1757,155514.7,6,19,1913449,2.1,1.70,7.25,75.9,5.8,11.9,0.8,3,2.6,0.1,57750
2016,2963904,91187,148,1125,1693,8075,13620,58377,7552,597,5962,638,47326,12.1,1757,153695.3,6,19,1916152,1.3,1.60,7.25,76.1,5.8,11.7,0.8,3,2.5,0.1,61650
2015,2959288,89240,132,1146,1760,7555,15151,56100,6743,653,6181,655,47332,13,1757,148810.5,6,19,1910954,0.1,1.60,7.25,76.4,5.8,11.5,0.8,2.9,2.5,0.1,65350
2014,2980293,86268,101,1012,1341,7075,14901,54657,6544,637,6120,684,47013,13.6,1757,145344.1,6,19,1895859,1.6,2.20,7.25,76.8,5.8,11.3,0.8,2.8,2.4,0.1,72700
2013,2963402,92948,120,968,1362,7053,16465,59755,6638,587,5619,555,46174,14,1757,141723.4,6,19,1869054,1.5,1.60,7.25,77.2,5.8,11.1,0.8,2.7,2.4,0.1,84000
2012,2964629,99732,91,1067,1510,7539,18416,63538,6753,818,5869,586,45294,14,1757,141818.2,6,19,1841393,2.1,2.00,7.25,77.5,5.8,10.9,0.8,2.6,2.3,0.1,89675
2011,2947998,97469,116,1077,1462,7436,18844,61023,6680,831,6004,590,43015,13.8,1757,139579.4,6,19,1819044,3.2,2.10,7.25,77.9,5.7,10.7,0.8,2.5,2.3,0.1,106675
2010,2815546,167522,105,1109,1622,7593,87926,62370,5951,846,6388,609,39960,13.6,1757,135723.2,6,19,1801873,1.6,2.40,7.25,78.2,5.7,10.6,0.8,2.4,2.2,0.1,109325
2009,2770405,99801,130,1125,1765,8080,19362,62514,5782,1043,6151,610,39431,13.4,1757,134227.0,6,19,1813184,0,2.90,2.65,78.7,5.7,10.2,0.8,2.3,2.1,0.1,89850
2008,2754617,102214,127,1159,1596,7877,18475,64974,7136,870,6198,613,41257,11.3,1757,139536.8,6,19,1858069,3.8,2.00,2.65,79.2,5.7,9.9,0.8,2.3,2,0.1,63200
2007,2687073,112109,115,1128,2039,8062,19518,73652,6729,866,6567,654,38057,11.2,1757,137093.6,6,19,1844355,2.9,1.90,2.65,79.8,5.7,9.5,0.8,2.2,1.9,0.1,62050
2006,2504299,110892,123,1178,1882,7769,18161,72356,8515,908,6469,616,35690,12.4,1757,130364.5,6,19,1795507,3.2,2.10,2.65,80.3,5.7,9.1,0.8,2.2,1.9,0.1,68075
2005,2547930,112726,107,1034,2198,7103,18001,73695,9718,870,6471,614,32545,11.7,1757,123949.8,6,19,1765650,3.4,2.70,2.65,80.8,5.6,8.8,0.8,2.1,1.8,0.1,78250
2004,2582345,118620,122,1018,2368,6985,18567,79950,8850,760,6504,640,30843,10.5,1757,119391.6,6,19,1750876,2.7,2.80,2.65,81.2,5.7,8.4,0.8,2.1,1.7,0.1,65103
2003,2725200,117664,121,1106,1766,7143,20448,77060,9186,834,6330,573,30074,10.8,1757,118192.5,6,19,1733694,2.3,2.20,2.65,81.7,5.7,8.1,0.8,2,1.6,0.1,78100
